Numb;Type;Lat;Long;Title;Subtitle;Address;ZIP;City;Country;Info;Itinerary;SourceName;Source;Image;Artist;SongTitle;Lyrics;MediaType;MediaURI;ID;
1;R;51,513872;-0,132824;De Lane Lea Studios;WB De Lane Lea Studios;75 Dean St;W1D 3PU;London;United Kingdom;De Lane Lea Studios have seen many huge artists such as The Beatles, Queen, The Rolling Stones, Bee Gees, The Who, The Jimi Hendrix experience, Pink Floyd, Electric Light Orchestra and Deep Purple recording in their studios;1;WBSound;http://www.wbsound.com/london/ ;no;V.A., The Beatles, Queen;   ;   ;youtube;https://www.youtube.com/watch?v=fcvdkw6v3fE;001s030817;
2;R;51,514087;-0,134518;Bricklayer's Arms Pub;Bricklayer's Arms Pub;7 Broadwick Street;W1F 0DA;London;United Kingdom;The Bricklayer's Arms pub was the place where Brian Jones auditioned the first members of The Rolling Stones. Also, the band had its first rehearsals ever upstairs in the same pub.;2;-;-;no;The Rolling Stones;   ;   ;-;-;002s030817;
3;W;51,514088;-0,13536;What's The Story Morning Glory Cover;Berwick Street;Berwick Street;W1F 0PH;London;United Kingdom;"The cover of Oasis most successful release ""(What's the story) Morning glory?"" was taken here in Berwick street, looking down central London. The two figures in the picture are Oasis producer Owen Morris and DJ Sean Rowley. The album sold 347,000 copies just during the first week after the release, spent 10 weeks at number one on the UK Album Chart and reached number 4 in the US Billboard 200. Heartbroken Oasis fans constructed a shrine outside Selectadisc on the day Bonehead announced his departure from the band and it remains common to see tourists enraging cabbies and couriers by recreating the '(What's The Story) Morning Glory?' cover in the middle of Berwick Street.";3;-;https://en.wikipedia.org/wiki/Berwick_Street;no;Oasis;(What's The Story?) Morning Glory;   ;-;-;003s030817;
4;V;51,516153;-0,135276;100 Club;100 Club;100 Oxford St;W1D 1LL;London;United Kingdom;"In 1976 100 Club hosted the first ""International Punk Festival"", that helped pushing the punk movement from being just an underground reality to a mainstream movement. Artists involved in the gig included: Sex Pistols, Siouxsie and the Banshees, The Clash, Buzzcocks, The Stranglers and The Damned";4;-;http://www.the100club.co.uk/;no;Sex Pistols, The Clash;   ;   ;-;-;001g040817;
5;V;51,515595;-0,13021;Astoria Theatre;Astoria Theatre;157 Charing Cross Road;WC2H 0LA;London;United Kingdom;The Astoria, located in 157 Charing Cross road, was a truly iconic venue of London. It hopened in 1976 and hosted many acclaimed artists such as Radiohead, Deep Purple, Eels, Smashing Pumpkins, The Darkness, Sum 41 and Dio. Also, Richey Edwards and the Manic Street Preachers performed their last gig here. It was closed in 2009 and has since been demolished.;-;-;https://en.wikipedia.org/wiki/London_Astoria;no;V.A.;   ;   ;-;-;001s080817;
6;R;51,515518;-0,129682;Denmark Street;Denmark Street;Denmark Street;WC2H 8NL;London;United Kingdom;Apart from being nowadays the most known place in town for its musical instrument shops, it was in the past one of the crucial places for British music.;-;-;http://www.telegraph.co.uk/music/artists/denmark-streets-rich-legacy/;no;V.A., Michael Monroe, Hanoi Rocks;   ;   ;-;-;002s080817;
7;V;51,516715;-0,130149;Dominion Theatre;Dominion Theatre;268-269 Tottenham Court Rd;W1T 7AQ;London;United Kingdom;The Dominion was home to the long-running musical We Will Rock You, played at the theatre from 14 May 2002 until 31 May 2014.;-;-;https://www.nederlander.co.uk/dominion-theatre;no;V.A.;   ;   ;-;-;003s080817;
8;V;51,511874;-0,127842;Ken Colyer's jazz Club;Studio 51;10-11 Great Newport Street;WC2H 7JA;London;United Kingdom;This is where the Ken Coyler Jazz Club (also called Studio 51) used to be - a jazz club that turned R&B and rock & roll through the sixties. The Rolling Stones were regulars at the basement club, and its where Lennon & McCartney spotted the Stones manager walking outside and asked him for an introduction.;-;-;https://en.wikipedia.org/wiki/I_Wanna_Be_Your_Man;no;V.A., The Beatles, Rolling Stones;   ;   ;-;-;002g080817;
9;V;51,512497;-0,138973;Live Jimi Hendrix at Bag O'Nails;Bag O'Nails Club;9 Kingly St;W1B 5PN;London;United Kingdom;Among the now famous names who performed at the Bag O'Nails was Jimi Hendrix who played his debut gig in the UK in November 1966 using the club's DJ booth, which remains as it was when he appeared at the club and still in use today.;5;-;http://bag-o-nails.com/;no;Jimi Hendrix;   ;   ;-;-;005s080817;
10;V;51,510436;-0,139956;The Beatle's Rooftop Concert;The Beatles' Apple offices;3 Seville Row;W1S 3AD;London;United Kingdom;Apple Headquarters were located in the dignified setting of Savile Row, renowned for its tailoring shops. The Beatles all had offices here, and the group filmed the second half of Let It Be here, including the famous rooftop sequence that ends the film and marked their final live appearance.;1;-;https://www.beatlesbible.com/1969/01/30/the-beatles-rooftop-concert-apple-building/;no;The Beatles;   ;   ;-;-;005s080817;
11;W;51,510545;-0,119958;Subterranean Homesick Blues Video;Savoy Steps;Savoy Steps;WC2R 0DA;London;United Kingdom;"The forgotten corner of London where Bob Dylan made music history.The song was used in one of the first ""modern"" promotional film clips, the forerunner of what was later known as the music video. The original clip was the opening segment of D. A. Pennebaker's film Dont Look Back, a documentary on Dylan's 1965 tour of England. In the film, Dylan, who came up with the idea, holds up cue cards with selected words and phrases from the lyrics. The cue cards were written by Donovan, Allen Ginsberg, Bob Neuwirth and Dylan himself. While staring at the camera, he flips the cards as the song plays. There are intentional misspellings and puns throughout the clip: for instance, when the song's lyrics say ""eleven dollar bills"", the poster says ""20 dollar bills"". The clip was shot in an alley close to the Savoy Hotel in London. Ginsberg and Neuwirth are briefly visible in the background. For use as a trailer, the following text was superimposed at the end of the clip, Dylan and Ginsberg are exiting the frame: ""Surfacing Here Soon | Bob Dylan in | Don't Look Back by D. A. Pennebaker"". The Savoy Hotel has retained much of its exterior as it was in 1965, and the alley used in the film has been identified as the Savoy Steps.";-;-;https://en.wikipedia.org/wiki/Subterranean_Homesick_Blues;no;Bob Dylan;Subterranean Homesick Blues;   ;-;-;006s080817;
12;W;51,512088;-0,116011;"The Prodigy Video: ""Firestarter""";Aldwych Tube Station;171 Strand;WC2R 1EP;London;United Kingdom;"The music video for The Prodigy's song ""Firestarter"" was filmed in the disused eastern tunnel and one of the unused lift shafts.";-;-;http://www.subbrit.org.uk/sb-sites/sites/a/aldwych-holborn-branch_line/index2.shtml;no;The Prodigy;Firestarter;   ;-;-;007s080817;
13;P;51,499299;-0,12733;Westminster Abbey;Westminster Abbey;20 Deans Yd;SW1P 3PA;London;United Kingdom;George Frideric Handel was buried in Westminster Abbey.[140] More than three thousand mourners attended his funeral, which was given full state honours. The last performance he attended was of Messiah.;-;-;-;no;George Frideric Handel;   ;   ;-;-;001g090817;
14;M;51,51297;-0,145917;Handel House Museum;Handel House Museum;25 Brook Street;W1K 4HB;London;United Kingdom;Composer George Frideric Handel acquired 25 Brook Street in the summer of 1723, shortly after having been appointed by George II as composer to the Chapel Royal, for which he was paid £400 per annum (now it hosts the Handel House Museum). He died here in this house in 1759, at age 74. ;-;-;-;no;George Frideric Handel;   ;   ;-;-;002g090817;
15;P;51,512997;-0,145844;Jimi Hendrix's London Flat;Jimi Hendrix Flat;23 Brook Street;W1K 4HA;London;United Kingdom;The guitar legend moved into 23 Brook Street in 1968 - and more than 45 years later the bedroom/living room of the home has been recreated down to Hendrix's two telephones - one old-school black Bakelite, one modishly angular - on the floor and the scallop shell ashtray on the bedside table. ;5;-;https://www.theguardian.com/music/2016/feb/08/jimi-hendrix-museum-former-london-flat-open-wednesday https://handelhendrix.org/;no;Jimi Hendrix;   ;   ;-;-;008s080817;
16;P;51,518657;-0,160039;Ringo's Flat;Montagu Square;34 Montagu Square;W1H 2LJ;London;United Kingdom;Ringo moved into a two-level apartment on the ground floor and basement of an elegant building at 34 Montagu Square in 1965. Ringo moved again later in that year, but retained the lease on Montagu Square and loaned his apartment to several friends over the next few years, most notably Jimi Hendrix and John & Yoko, who lived here in 1968. (This is also where John & Yoko were busted for drugs in October 1968.);1;-;https://en.wikipedia.org/wiki/34_Montagu_Square,_Marylebone;no;The Beatles;   ;   ;-;-;001s120817;
